,age,gender,time_in_social_media,people_living_together,social_class,has_pets,number_of_pets,has_dog,has_cat,has_others,forgets,report_abandoned,feeling,would_use
0,15,0,2,3,3,0,0,0,0,0,1,2,1,0
1,15,1,2,4,4,0,0,0,0,0,1,2,2,0
2,15,0,4,4,4,1,1,1,0,0,1,3,2,0.5
3,20,0,0,4,2,1,1,1,0,0,0,4,3,1
4,15,0,2,4,4,0,0,0,0,0,1,2,1,0
5,15,0,2,4,4,0,0,0,0,0,1,2,1,0
6,15,0,0,4,3,0,0,0,0,0,1,2,3,1
7,15,1,2,3,2,1,1,1,0,0,0,4,4,1
8,15,0,2,5,1,0,0,0,0,0,1,2,2,0
9,15,1,4,2,3,1,1,1,0,0,1,4,3,0.5
10,20,0,0,4,2,1,1,1,0,0,1,4,4,0.5
11,20,1,2,4,3,1,1,0,0,0,1,4,4,1
12,40,0,2,1,4,0,0,0,0,0,1,2,1,0
13,20,1,2,3,2,0,0,0,0,0,1,2,2,1
14,20,0,2,4,3,1,1,1,0,0,1,4,3,1
15,20,0,2,4,2,1,1,1,0,0,1,3,4,0.5
16,20,0,4,8,3,1,3,0,1,0,1,2,1,0
17,20,0,0,4,4,1,2,1,0,0,0,3,2,0
18,20,1,4,3,3,1,1,0,1,0,1,3,3,0.5
19,20,1,4,4,3,1,4,0,1,0,0,4,4,1
20,15,0,2,4,3,1,1,1,0,0,1,4,4,1
21,40,0,0,4,3,0,0,0,0,0,1,2,1,1
22,20,1,4,5,2,0,0,0,0,0,1,2,2,0
23,15,0,2,3,3,1,2,1,0,1,0,3,2,0.5
24,20,1,2,4,4,0,0,0,0,0,1,2,3,1
25,40,1,2,3,4,0,0,0,0,0,1,2,3,1
26,20,0,0,3,2,0,0,0,0,0,1,2,2,0.5
27,50,0,0,4,2,0,0,0,0,0,1,2,1,0
28,50,0,0,4,2,0,0,0,0,0,1,2,2,0
29,50,0,0,3,3,0,0,0,0,0,1,2,2,0.5
30,50,1,0,2,3,0,0,0,0,0,1,2,1,0
31,50,1,0,2,4,1,1,0,0,0,0,3,2,0
32,30,1,0,1,3,1,2,1,0,0,0,4,4,1
33,20,1,2,3,2,1,3,1,1,0,1,4,4,0
34,50,0,0,4,4,0,0,0,0,0,1,2,1,0
35,50,1,0,4,3,0,0,0,0,0,1,2,3,0.5
36,20,1,2,3,4,1,1,1,0,0,1,4,3,1
37,30,1,0,3,2,0,0,0,0,0,1,2,2,0.5
38,15,1,6,2,4,1,2,0,1,0,1,4,3,1
39,15,1,2,4,3,1,1,0,1,0,0,3,4,0.5
40,50,1,4,4,4,0,0,0,0,0,1,2,2,0.5
41,30,0,0,4,3,1,2,1,0,0,1,4,4,0
42,20,1,6,1,1,0,0,0,0,0,1,2,3,0.5
43,25,0,4,2,3,0,0,0,0,0,1,2,1,0
44,30,0,0,3,2,1,1,1,0,0,1,4,2,0
45,40,0,2,4,2,1,1,1,0,0,0,4,3,1
46,15,1,0,3,3,1,4,1,1,1,1,3,4,0
47,20,0,2,4,2,0,0,0,0,0,1,2,2,0.5
48,20,1,2,3,3,1,1,1,0,0,1,4,4,1
49,20,0,2,3,3,1,1,1,0,0,1,3,3,0.5
50,20,0,2,4,2,0,0,0,0,0,1,2,2,1
51,20,2,6,5,2,1,1,0,1,0,0,3,3,0.5
52,20,0,2,3,0,1,2,0,0,0,0,3,3,0
53,15,1,2,2,2,1,3,0,1,0,1,4,4,1
54,15,0,0,3,3,1,1,1,0,0,0,3,3,0
55,30,0,2,4,5,1,2,0,1,0,1,0,2,0
56,20,0,2,5,3,1,3,1,1,0,1,2,3,0
57,50,1,0,2,3,0,0,0,0,0,1,2,2,0.5
58,15,1,2,4,4,1,1,1,0,0,1,4,3,1
59,20,1,4,6,3,1,2,1,0,1,1,3,3,0.5
60,20,0,2,5,4,1,1,1,0,0,1,4,3,1
61,20,1,4,3,4,1,1,1,0,0,1,4,4,0.5
62,15,0,4,3,2,1,2,1,0,0,1,2,4,1
63,20,0,2,4,2,1,2,1,1,0,1,3,3,0.5
64,15,0,4,6,4,1,2,1,0,0,0,3,3,0
65,20,0,2,3,3,0,0,0,0,0,1,2,3,1
66,50,1,2,4,3,0,0,0,0,0,1,2,3,1
67,15,0,2,3,2,1,2,1,0,0,1,3,1,0.5
68,15,1,4,3,2,0,0,0,0,0,1,2,2,0.5
69,20,1,2,2,2,0,0,0,0,0,1,2,2,0.5
70,15,0,0,4,3,1,3,1,0,0,0,3,3,0.5
71,15,1,0,4,3,1,1,0,1,0,1,3,4,1
72,15,1,0,4,3,0,0,0,0,0,1,2,1,0
73,20,0,2,2,1,0,0,0,0,0,1,2,2,0.5
74,15,1,4,6,2,1,5,1,1,1,1,3,3,0.5
75,15,1,0,4,2,1,2,1,1,0,0,3,4,1
76,20,1,2,4,3,0,0,0,0,0,1,2,1,0
77,30,0,2,3,4,0,0,0,0,0,1,2,3,1
78,15,2,0,4,4,1,1,1,0,0,1,4,3,0.5
79,20,1,2,3,3,0,0,0,0,0,1,2,1,0
80,15,1,4,3,3,1,1,1,0,0,1,4,3,1
81,15,1,4,4,3,0,0,0,0,0,1,2,1,0
82,20,1,4,3,3,1,1,0,1,0,1,4,3,0.5
83,20,1,0,3,2,1,1,1,0,0,1,2,4,1
84,15,0,2,3,3,1,1,1,0,0,1,3,3,0.5
85,20,1,2,4,2,1,1,1,0,0,0,4,3,0
86,20,0,2,3,2,1,1,1,0,0,1,4,4,0.5
87,20,0,0,4,3,1,1,1,0,0,1,4,4,1
88,20,1,2,4,3,0,0,0,0,0,1,2,1,0
89,15,0,0,3,4,1,1,1,0,0,1,2,2,0
90,15,0,2,4,4,1,1,1,0,0,1,3,4,0.5
91,15,1,0,2,4,1,3,1,0,0,0,4,4,1
92,15,0,2,4,3,1,1,0,0,0,1,4,3,0.5
93,20,0,0,3,2,0,0,0,0,0,1,2,2,0.5
94,15,0,2,3,2,1,1,1,0,0,0,3,3,0.5
95,20,0,0,6,3,1,2,1,0,0,1,4,3,0.5
96,20,2,2,4,4,1,3,1,1,1,1,4,4,1
97,20,1,2,4,2,1,1,0,1,0,1,4,3,1
98,20,1,2,4,2,1,1,1,0,0,1,3,4,0.5
99,15,1,6,4,4,0,0,0,0,0,1,2,1,0
100,20,0,2,4,4,1,4,1,0,1,0,3,3,0.5
101,15,0,0,3,3,1,5,1,1,0,1,4,3,0.5
102,15,0,0,4,0,1,1,1,0,0,0,4,3,0.5
103,15,0,0,3,4,0,0,0,0,0,1,2,4,1
104,15,1,2,4,4,0,0,0,0,0,1,2,1,0
105,15,1,0,3,3,1,3,1,1,0,0,4,4,0.5
106,15,1,8,4,3,0,0,0,0,0,1,2,3,0.5
107,15,0,4,4,3,1,1,1,0,0,1,3,3,0
108,15,0,4,4,4,0,0,0,0,0,1,2,1,0
