iter	Passed	Remaining
0	11	11815
1	17	8602
2	22	7373
3	27	6774
4	32	6380
5	36	5965
6	40	5703
7	46	5750
8	51	5622
9	56	5602
10	62	5597
11	70	5802
12	75	5766
13	81	5708
14	86	5695
15	90	5580
16	95	5530
17	101	5558
18	106	5498
19	111	5458
20	117	5470
21	122	5461
22	126	5377
23	132	5376
24	136	5326
25	142	5327
26	147	5307
27	153	5316
28	161	5394
29	166	5371
30	170	5339
31	176	5337
32	180	5280
33	185	5267
34	196	5410
35	201	5395
36	206	5378
37	211	5363
38	217	5347
39	221	5327
40	226	5305
41	234	5338
42	240	5344
43	246	5363
44	251	5342
45	257	5330
46	263	5344
47	269	5342
48	273	5313
49	278	5284
50	283	5270
51	290	5298
52	297	5313
53	303	5318
54	308	5308
55	314	5298
56	450	7457
57	499	8116
58	561	8948
59	564	8847
60	568	8749
61	572	8657
62	579	8611
63	582	8522
64	659	9482
65	665	9422
66	709	9879
67	719	9855
68	729	9839
69	736	9786
70	740	9694
71	746	9616
72	750	9536
73	756	9466
74	763	9411
75	767	9334
76	776	9310
77	780	9229
78	786	9168
79	796	9157
80	802	9101
81	806	9032
82	810	8959
83	815	8888
84	819	8818
85	827	8797
86	832	8734
87	837	8677
88	841	8618
89	848	8575
90	853	8528
91	859	8484
92	865	8444
93	870	8392
94	873	8325
95	878	8277
96	885	8242
97	889	8184
98	893	8132
99	900	8100
100	905	8055
101	911	8027
102	916	7982
103	920	7934
104	924	7882
105	930	7846
106	935	7804
107	938	7750
108	943	7712
109	946	7658
110	951	7617
111	956	7582
112	961	7549
113	967	7519
114	973	7489
115	976	7441
116	981	7407
117	985	7368
118	989	7328
119	996	7309
120	1002	7279
121	1006	7243
122	1012	7216
123	1016	7183
124	1020	7144
125	1024	7106
126	1028	7067
127	1033	7041
128	1037	7005
129	1040	6965
130	1043	6925
131	1049	6900
132	1052	6862
133	1056	6825
134	1059	6788
135	1066	6775
136	1073	6765
137	1080	6746
138	1084	6714
139	1089	6690
140	1097	6684
141	1102	6664
142	1107	6634
143	1111	6604
144	1115	6579
145	1118	6543
146	1125	6530
147	1131	6515
148	1136	6489
149	1140	6463
150	1146	6447
151	1150	6419
152	1156	6402
153	1161	6382
154	1165	6352
155	1169	6329
156	1173	6303
157	1177	6275
158	1181	6250
159	1186	6230
160	1190	6205
161	1193	6175
162	1198	6156
163	1205	6144
164	1209	6121
165	1216	6113
166	1222	6097
167	1228	6081
168	1233	6066
169	1237	6043
170	1243	6026
171	1246	5999
172	1252	5986
173	1259	5980
174	1264	5960
175	1269	5945
176	1275	5929
177	1281	5918
178	1286	5899
179	1301	5930
180	1305	5907
181	1310	5891
182	1319	5889
183	1326	5882
184	1331	5866
185	1337	5851
186	1344	5843
187	1349	5827
188	1355	5816
189	1360	5798
190	1365	5783
191	1371	5772
192	1376	5756
193	1381	5739
194	1386	5722
195	1389	5699
196	1395	5687
197	1405	5692
198	1409	5671
199	1414	5658
