,age,gender,time_in_social_media,people_living_together,social_class,has_pets,number_of_pets,has_others,forgets,report_abandoned,feeling,would_use,has_dogs,is_lgbt
0,49,1,2.0,4,2,0,0.0,0,1,3,3.0,0,0,0
1,16,1,2.0,4,1,1,4.0,1,1,4,5.0,1,1,1
2,30,1,3.0,4,4,0,0.0,0,1,3,3.0,0,0,0
3,15,0,6.0,3,4,1,2.0,1,1,4,5.0,0,1,0
4,10,1,2.0,3,2,1,1.0,0,0,3,5.0,0,1,0
5,12,1,6.0,5,2,1,4.0,1,1,4,5.0,0,1,0
6,12,1,4.0,3,2,0,0.0,0,1,4,3.0,0,0,0
7,16,1,4.0,3,0,1,1.0,0,1,3,5.0,1,1,0
8,12,1,6.0,4,0,1,1.0,0,1,3,5.0,0,1,1
9,11,1,2.0,5,4,1,1.0,0,1,3,5.0,0,1,0
10,11,1,6.0,4,4,1,3.0,1,1,4,5.0,0,1,0
11,11,0,2.0,3,2,0,0.0,0,1,3,3.0,0,0,0
12,22,1,4.0,2,3,1,4.0,1,1,4,5.0,0,1,1
13,11,1,3.0,4,2,1,1.0,0,1,4,5.0,0,1,0
14,11,1,2.0,4,3,1,1.0,0,1,4,5.0,0,1,0
15,11,1,1.0,5,4,1,3.0,1,0,4,5.0,1,1,0
16,11,1,11.0,4,3,0,0.0,0,1,3,3.0,0,0,0
17,12,1,5.0,2,2,0,0.0,0,1,3,3.0,0,0,0
18,14,0,6.0,2,3,1,1.0,0,0,3,3.0,0,1,0
19,13,1,5.0,6,4,1,5.0,1,0,4,5.0,0,1,0
20,15,0,3.0,5,0,0,0.0,0,1,2,3.0,0,0,0
21,16,1,2.0,3,2,1,1.0,0,0,3,4.0,0,1,1
22,16,0,4.0,4,3,0,0.0,0,1,3,3.0,1,0,0
23,14,1,-1.0,4,2,1,1.0,0,1,4,5.0,1,1,0
24,50,1,3.0,2,2,0,0.0,0,1,4,3.0,0,0,0
25,29,1,1.0,2,2,1,2.0,0,1,4,5.0,0,1,0
26,26,1,8.0,2,2,0,0.0,0,1,3,3.0,0,0,0
27,65,0,1.0,3,5,1,2.0,0,0,1,5.0,0,1,0
28,15,1,2.0,2,2,1,3.0,1,1,4,5.0,0,1,0
29,35,1,3.0,2,2,1,1.0,0,0,4,5.0,1,1,0
30,13,1,1.0,5,2,1,8.0,1,1,2,5.0,1,0,0
31,40,1,2.0,2,5,1,1.0,0,0,4,5.0,0,1,0
32,33,1,3.0,2,4,0,0.0,0,1,4,3.0,0,0,0
33,16,1,4.0,3,0,1,1.0,0,0,3,5.0,1,1,0
34,42,0,2.0,3,3,0,0.0,0,1,2,3.0,0,0,0
35,41,0,3.0,3,2,0,0.0,0,1,4,3.0,0,0,0
36,41,0,3.0,3,2,0,0.0,0,1,4,3.0,0,0,0
37,16,0,6.0,3,0,1,1.0,0,1,4,5.0,0,0,0
38,44,1,3.0,1,2,1,1.0,0,0,3,5.0,0,1,0
39,17,0,1.0,5,2,0,0.0,0,1,3,3.0,1,0,0
40,59,0,4.0,1,4,0,0.0,0,1,3,3.0,0,0,0
41,18,1,4.0,4,1,1,3.0,1,0,4,5.0,1,1,0
42,17,0,3.0,6,1,1,2.0,1,1,4,4.0,0,1,0
43,18,1,10.0,4,0,0,0.0,0,1,4,3.0,1,0,0
44,16,0,5.0,3,2,0,0.0,0,1,3,3.0,0,0,0
45,11,1,2.0,6,3,0,0.0,0,1,3,3.0,0,0,0
46,17,0,2.0,3,0,0,0.0,0,1,0,3.0,0,0,0
47,15,1,2.0,5,0,1,2.0,1,1,3,5.0,1,1,0
48,12,1,2.0,5,2,1,1.0,0,1,3,5.0,0,1,0
49,15,0,4.0,3,4,1,1.0,0,1,3,4.0,0,1,0
50,16,0,4.0,3,3,1,1.0,0,1,4,4.0,1,1,0
51,48,1,2.0,5,3,1,2.0,0,0,4,5.0,1,1,0
52,17,0,2.0,4,2,0,0.0,0,1,0,3.0,0,0,0
53,13,0,2.0,4,0,1,1.0,0,1,4,5.0,0,1,0
54,11,0,2.0,1,3,0,0.0,0,1,4,3.0,0,1,0
55,13,1,7.0,5,3,1,1.0,0,1,2,5.0,1,1,0
56,12,0,2.0,5,3,1,2.0,1,1,4,5.0,0,1,0
57,40,1,8.0,3,1,0,0.0,0,1,4,3.0,1,0,0
58,11,0,1.0,3,3,1,1.0,0,0,2,5.0,0,1,0
59,11,0,5.0,4,4,1,2.0,1,1,3,5.0,0,1,0
60,11,1,4.0,4,3,1,1.0,0,1,3,5.0,1,0,0
61,12,0,3.0,4,3,1,1.0,0,1,3,5.0,0,1,0
62,12,0,3.0,4,3,1,1.0,0,1,3,5.0,0,1,0
63,14,1,5.0,5,3,1,1.0,0,1,4,4.0,0,1,0
64,57,0,5.0,4,5,1,1.0,0,0,4,5.0,1,1,0
65,14,0,2.0,4,2,1,2.0,1,1,3,5.0,0,1,0
66,13,0,6.0,2,2,1,2.0,1,1,2,4.0,0,1,0
67,48,1,2.0,4,3,1,1.0,0,0,4,5.0,1,0,0
68,11,1,1.0,3,0,0,0.0,0,1,3,3.0,1,0,0
69,12,1,2.0,3,3,0,0.0,0,1,4,3.0,1,0,0
70,12,0,1.45,2,3,1,1.0,0,0,2,5.0,0,1,0
71,12,1,2.0,4,4,1,8.0,1,1,3,4.0,1,0,0
72,42,1,3.0,1,1,1,1.0,0,0,3,5.0,1,1,1
73,12,1,20.0,2,2,1,2.0,1,1,3,3.0,0,1,0
74,16,2,4.0,4,2,1,3.0,1,1,4,5.0,0,1,1
75,36,0,1.0,4,3,1,1.0,0,0,3,4.0,0,1,0
76,15,0,3.0,3,4,1,1.0,0,0,2,5.0,0,1,0
77,14,1,2.0,4,3,1,1.0,0,0,2,5.0,1,1,0
78,15,1,2.0,2,5,1,3.0,1,0,4,5.0,0,1,0
79,12,0,3.0,3,2,1,2.0,1,1,3,5.0,0,1,0
80,12,1,7.0,3,2,1,1.0,0,1,4,5.0,0,1,0
81,12,2,6.0,4,2,1,5.0,1,0,2,5.0,1,1,1
82,12,1,4.0,4,0,1,1.0,0,1,3,4.0,0,1,0
83,17,1,6.0,4,0,1,1.0,0,0,2,4.0,0,0,0
84,17,0,2.0,3,2,1,2.0,1,0,3,4.0,0,1,0
85,11,2,1.0,3,4,1,1.0,0,1,3,5.0,0,1,1
86,13,1,6.0,4,2,1,4.0,1,1,3,5.0,0,1,0
87,13,1,0.0,5,4,0,0.0,0,1,1,3.0,0,0,0
88,13,1,3.0,3,4,1,1.0,0,1,3,5.0,0,1,0
89,13,1,4.0,3,5,0,0.0,0,1,4,3.0,0,0,0
90,13,0,4.0,3,2,1,1.0,0,1,2,2.0,0,0,0
91,12,0,3.0,6,4,1,3.0,1,1,3,3.0,1,1,0
92,12,1,3.0,4,0,1,2.0,1,1,4,5.0,0,1,0
93,11,1,5.0,2,2,1,1.0,0,1,4,5.0,0,1,0
94,13,1,7.0,4,2,1,1.0,0,1,4,5.0,0,1,0
95,14,0,3.0,3,5,1,2.0,1,0,4,3.0,0,1,0
96,14,0,8.0,4,4,0,0.0,0,1,4,3.0,0,1,0
97,26,1,3.0,4,5,1,4.0,1,1,4,5.0,1,1,1
98,22,1,4.0,2,2,1,2.0,1,0,4,5.0,1,1,0
99,20,1,4.0,5,4,1,1.0,0,1,4,4.0,0,1,1
100,16,1,1.0,3,3,0,0.0,0,1,3,3.0,0,0,0
101,15,0,3.0,4,3,1,3.0,1,1,1,4.0,0,1,1
102,11,0,1.0,4,3,1,1.0,0,0,4,4.0,0,1,0
103,15,1,3.0,3,2,1,1.0,0,1,4,5.0,1,1,1
104,12,0,2.0,4,4,1,2.0,1,1,3,5.0,0,1,0
105,13,0,3.0,4,5,1,1.0,0,0,4,3.0,0,1,0
106,13,1,2.0,5,4,1,8.0,1,0,4,5.0,1,1,0
107,12,0,2.0,4,0,1,1.0,0,0,4,4.0,0,1,0
108,13,0,1.0,4,2,0,0.0,0,1,0,3.0,1,0,0
109,11,1,2.0,3,3,0,0.0,0,1,4,3.0,0,0,0
110,14,1,5.0,2,5,0,0.0,0,1,4,3.0,0,0,0
111,13,0,4.0,8,5,1,3.0,1,1,4,5.0,1,1,0
112,17,1,3.0,3,2,1,2.0,1,1,4,5.0,0,1,1
113,12,0,1.0,4,2,1,2.0,1,1,0,3.0,1,1,0
114,15,2,4.0,2,5,1,1.0,0,1,4,5.0,1,1,1
115,14,2,1.0,7,1,0,0.0,0,1,3,3.0,0,0,1
116,12,1,3.0,3,5,1,2.0,1,1,4,3.0,1,1,0
117,15,1,4.0,3,0,1,3.0,1,1,4,5.0,1,1,0
118,15,0,4.0,4,0,1,1.0,0,1,3,4.0,1,1,0
119,45,1,1.0,2,1,0,0.0,0,1,4,3.0,0,0,0
120,50,0,1.0,4,0,1,3.0,0,0,4,5.0,1,1,0
121,12,2,17.0,4,2,1,1.0,0,1,4,5.0,0,1,0
122,11,1,6.0,1,0,1,1.0,0,1,3,5.0,0,1,0
123,45,0,1.0,4,5,0,0.0,0,1,3,3.0,0,0,0
124,51,0,1.0,5,2,1,2.0,0,0,4,4.0,0,1,0
125,16,0,1.0,4,3,1,1.0,0,1,3,4.0,0,1,0
126,25,1,2.0,2,3,1,1.0,0,0,4,5.0,1,1,0
127,31,0,2.0,3,4,0,0.0,0,1,1,3.0,0,0,0
128,37,0,2.0,4,4,1,1.0,0,1,3,3.0,0,1,0
129,25,1,5.0,1,2,1,1.0,0,0,3,5.0,1,1,0
130,28,1,5.0,4,4,1,3.0,0,0,4,5.0,1,1,0
131,35,1,3.0,3,4,0,0.0,0,1,3,3.0,0,0,0
132,26,0,1.0,4,4,1,2.0,0,0,4,5.0,0,1,1
133,20,1,4.0,3,2,1,1.0,0,0,4,5.0,1,1,1
134,28,0,5.0,3,4,0,0.0,0,1,4,3.0,0,0,0
135,30,0,15.0,2,2,0,0.0,0,1,4,3.0,0,0,1
