iter	Logloss
0	0.6880018678
1	0.6847067593
2	0.6799895696
3	0.6754797109
4	0.6714010961
5	0.6667447035
6	0.661925429
7	0.6577674102
8	0.6530504298
9	0.6501853109
10	0.6457942525
11	0.6431509212
12	0.6392701557
13	0.6365064141
14	0.6327632343
15	0.6283790325
16	0.6245817553
17	0.6216531928
18	0.6180667665
19	0.6142608886
20	0.6107578339
21	0.6082294954
22	0.6049514164
23	0.6018112764
24	0.5988580494
25	0.595816426
26	0.5924079878
27	0.5893138621
28	0.5859928922
29	0.5834331399
30	0.5817570338
31	0.5789930821
32	0.5762856996
33	0.5734046212
34	0.5699613866
35	0.5670631798
36	0.5638949492
37	0.5611582614
38	0.5588144839
39	0.5565903756
40	0.55407078
41	0.5507818708
42	0.5483157795
43	0.5466877058
44	0.5441079525
45	0.541622423
46	0.5392499382
47	0.5366606954
48	0.5335841357
49	0.5307600612
50	0.5286974032
51	0.5267074072
52	0.5247715422
53	0.522772348
54	0.5202593466
55	0.5184030002
56	0.51608454
57	0.5143843983
58	0.5124230299
59	0.5099808273
60	0.5081832538
61	0.5069128506
62	0.505293456
63	0.5034936278
64	0.5022633023
65	0.4998147804
66	0.4979798912
67	0.4964507371
68	0.4945236564
69	0.4926553617
70	0.4909917048
71	0.4891949725
72	0.4871819282
73	0.4856780323
74	0.4840172291
75	0.4822355569
76	0.4800771905
77	0.4779166775
78	0.4763529973
79	0.4743610222
80	0.4734659798
81	0.4719001654
82	0.4704394543
83	0.4691708281
84	0.4673242909
85	0.4655480214
86	0.4636018544
87	0.4620468488
88	0.4606744285
89	0.4596733384
90	0.4582735615
91	0.4574555858
92	0.4557380987
93	0.4545643477
94	0.4526134871
95	0.4514046353
96	0.4498145672
97	0.4489928403
98	0.4477954902
99	0.4463392989
100	0.4446113207
101	0.4434004464
102	0.4417968694
103	0.4406726134
104	0.4397231739
105	0.4387619949
106	0.4378362453
107	0.4365690593
108	0.4352298284
109	0.4339232982
110	0.4328314999
111	0.4317076847
112	0.4304303603
113	0.4292790543
114	0.428337467
115	0.427447735
116	0.4262188826
117	0.4252746478
118	0.4241535161
119	0.4231301575
120	0.4217390438
121	0.4206644111
122	0.4199766094
123	0.4188818592
124	0.4180465639
125	0.4170857485
126	0.4160718303
127	0.4151632862
128	0.4137146123
129	0.4125666513
130	0.4115960452
131	0.4115208036
132	0.4106522454
133	0.4099808871
134	0.4088124703
135	0.407411945
136	0.4061859844
137	0.4055270065
138	0.4046100358
139	0.4036348032
140	0.4030993332
141	0.4023885098
142	0.4017903262
143	0.4007408882
144	0.3994737027
145	0.3985814481
146	0.3975545651
147	0.3966925021
148	0.3957827444
149	0.3947841529
150	0.3939804844
151	0.3930250153
152	0.3922613204
153	0.3913828446
154	0.3906479198
155	0.3898874008
156	0.3891478889
157	0.3887535004
158	0.3874959769
159	0.3866542711
160	0.3856121002
161	0.3848494056
162	0.3840494905
163	0.3828879468
164	0.3823584123
165	0.3817897941
166	0.3808790457
167	0.3800737524
168	0.3795038962
169	0.3787359259
170	0.3781736273
171	0.3777408791
172	0.3767685282
173	0.3760443224
174	0.3752810426
175	0.3744123543
176	0.3735519679
177	0.3734960092
178	0.3729001029
179	0.3719252918
180	0.3710478899
181	0.3703150184
182	0.3696607421
183	0.3689898087
184	0.3683288743
185	0.3676575976
186	0.3670422634
187	0.3665719987
188	0.3657447282
189	0.3650667151
190	0.3642418752
191	0.3637037403
192	0.3631001698
193	0.362580665
194	0.361833001
195	0.3615377683
196	0.3610443596
197	0.3603308012
198	0.3596477104
199	0.3593402409
200	0.358750578
201	0.3581236908
202	0.3575265361
203	0.3567288835
204	0.3560086794
205	0.3555925735
206	0.3551147127
207	0.3544359687
208	0.354077059
209	0.3535449538
210	0.3529784318
211	0.3522496305
212	0.3516363626
213	0.3508637945
214	0.3502873177
215	0.3496850632
216	0.3490715963
217	0.3484248784
218	0.347850097
219	0.3472712907
220	0.3469335666
221	0.3461198009
222	0.3455130573
223	0.3451133555
224	0.3445207132
225	0.3440538371
226	0.3434642228
227	0.3427162258
228	0.3418786637
229	0.3412140212
230	0.3409140753
231	0.3404016143
232	0.3397240718
233	0.339181982
234	0.3383592111
235	0.3378639578
236	0.3372131067
237	0.3366657779
238	0.3361505365
239	0.3357442149
240	0.3354516264
241	0.3347325624
242	0.334210799
243	0.3335655917
244	0.3330582481
245	0.3325696811
246	0.3321152389
247	0.3313900735
248	0.330929655
249	0.3304833419
250	0.3301715108
251	0.3297045106
252	0.3294749869
253	0.3290345903
254	0.3286056299
255	0.3281858893
256	0.3276534945
257	0.3271607493
258	0.3268322476
259	0.3263569287
260	0.326077195
261	0.325486894
262	0.3249644546
263	0.3244522241
264	0.3239683914
265	0.3235133958
266	0.3230199961
267	0.3224734306
268	0.3217657194
269	0.3212292546
270	0.3206867386
271	0.3202884383
272	0.3196990043
273	0.319145084
274	0.3185313225
275	0.3180173102
276	0.3175193904
277	0.3172299847
278	0.3168290293
279	0.316243148
280	0.3159299444
281	0.3154701191
282	0.3152587751
283	0.3148021747
284	0.3142252085
285	0.3138374674
286	0.3136422094
287	0.313122528
288	0.3126555743
289	0.3121967304
290	0.3116732644
291	0.311315633
292	0.3110786006
293	0.3107622065
294	0.3100968873
295	0.3098692849
296	0.3094731637
297	0.3091844297
298	0.3089205509
299	0.3085432951
300	0.308175294
301	0.3077632694
302	0.3072018193
303	0.30667456
304	0.30620661
305	0.3058099555
306	0.3055709031
307	0.3051588346
308	0.3047175173
309	0.304384889
310	0.3038955721
311	0.3035679353
312	0.3031041826
313	0.3028518993
314	0.3024958634
315	0.3020166073
316	0.301588872
317	0.3013910012
318	0.3009618251
319	0.3006508508
320	0.3005025076
321	0.3001766445
322	0.2998835778
323	0.2994508369
324	0.2989069452
325	0.2984612407
326	0.2979431648
327	0.2976375343
328	0.2972748395
329	0.2965938973
330	0.2963266399
331	0.296166924
332	0.2958929978
333	0.2954835604
334	0.2952132637
335	0.2949221515
336	0.294620307
337	0.2942928301
338	0.2938848707
339	0.2934912145
340	0.2931547832
341	0.2927182342
342	0.2925439114
343	0.2921268118
344	0.2916954063
345	0.2912245248
346	0.2910220498
347	0.290706874
348	0.2904967
349	0.2899432391
350	0.289683507
351	0.2894218283
352	0.2891131714
353	0.2887565442
354	0.2883595717
355	0.2880911023
356	0.2876535527
357	0.2874544869
358	0.2870724706
359	0.2868306342
360	0.2864999762
361	0.2860362049
362	0.2856654098
363	0.2852261162
364	0.2848504982
365	0.2845364743
366	0.2843456071
367	0.2840639648
368	0.2837158284
369	0.2836088284
370	0.2834109579
371	0.283007229
372	0.2826229317
373	0.2822873581
374	0.2820666134
375	0.2816305815
376	0.2814423252
377	0.2813674561
378	0.281005154
379	0.2807942001
380	0.2803275733
381	0.2800949265
382	0.2797851776
383	0.2795368383
384	0.2789722219
385	0.2785587311
386	0.2780438349
387	0.2778685047
388	0.2776105286
389	0.2772647306
390	0.2770651645
391	0.2768484969
392	0.2767281746
393	0.2763839176
394	0.2760758116
395	0.2758230034
396	0.2755322692
397	0.2753520981
398	0.2751941149
399	0.274997499
400	0.2746469679
401	0.2743998093
402	0.2742268476
403	0.2739944202
404	0.2736371475
405	0.2734559612
406	0.2730390233
407	0.272751791
408	0.272532098
409	0.2720640763
410	0.2716412191
411	0.2713331648
412	0.2709973659
413	0.2706783236
414	0.2704226442
415	0.2701766281
416	0.2698372489
417	0.2696833937
418	0.2694147079
419	0.2692773833
420	0.2688489284
421	0.2686845665
422	0.268605682
423	0.2682330739
424	0.267991156
425	0.267798412
426	0.2674650563
427	0.2670731832
428	0.2667786535
429	0.2665216493
430	0.2662770168
431	0.2660765489
432	0.2657405108
433	0.2653938412
434	0.2651603595
435	0.2647748568
436	0.264527844
437	0.2642790496
438	0.26399782
439	0.2638192252
440	0.2636621467
441	0.2634071634
442	0.2630555348
443	0.2628881922
444	0.2626220713
445	0.2622499488
446	0.2620096695
447	0.261615235
448	0.2613627786
449	0.2611527522
450	0.2611134054
451	0.2608295259
452	0.2606526025
453	0.2603628104
454	0.2599051257
455	0.2597862517
456	0.2595965941
457	0.2593513865
458	0.2590434495
459	0.2589188381
460	0.2585544808
461	0.2582865433
462	0.2580080524
463	0.2577071456
464	0.2576062289
465	0.2573150052
466	0.256964529
467	0.256920802
468	0.2566932414
469	0.2562368789
470	0.2558720087
471	0.2556592642
472	0.2553553733
473	0.2550306041
474	0.2548038147
475	0.2546338098
476	0.2544248244
477	0.25440382
478	0.2541395189
479	0.2539643543
480	0.2537468906
481	0.253500801
482	0.2532165343
483	0.2529843602
484	0.2526788907
485	0.2523061741
486	0.2520880755
487	0.2517797672
488	0.2516179643
489	0.2512960512
490	0.250919407
491	0.2506686864
492	0.2504329675
493	0.250276873
494	0.2501405288
495	0.2498982634
496	0.2496717607
497	0.249489263
498	0.2491877763
499	0.2488343532
500	0.2486252587
501	0.2482728999
502	0.247928491
503	0.2475201642
504	0.247107539
505	0.2468037489
506	0.2464972883
507	0.246303034
508	0.246079999
509	0.245781701
510	0.2456526322
511	0.2454678751
512	0.2452758513
513	0.2448526075
514	0.2445933177
515	0.2443195565
516	0.2441235721
517	0.2437606757
518	0.2434201335
519	0.2432860076
520	0.2430993551
521	0.2428998547
522	0.2427641935
523	0.2426230082
524	0.2423904236
525	0.2422309466
526	0.2419898724
527	0.2416325459
528	0.2413853894
529	0.2412022825
530	0.2410419201
531	0.2407349782
532	0.2404047775
533	0.2402871872
534	0.2401125362
535	0.2398443933
536	0.2396144317
537	0.2393626124
538	0.239172676
539	0.2388960727
540	0.2385876754
541	0.2384283272
542	0.2382040557
543	0.2379077468
544	0.2377842298
545	0.2375480623
546	0.2373255194
547	0.2370862816
548	0.2367884038
549	0.2364811279
550	0.2363736845
551	0.2361351988
552	0.2359123941
553	0.2357497886
554	0.2353362238
555	0.2350541291
556	0.2349248101
557	0.2345728967
558	0.2343796841
559	0.2342691957
560	0.2339953137
561	0.2338299698
562	0.2336301831
563	0.2333807677
564	0.2329792944
565	0.2328605203
566	0.2327432137
567	0.2325074387
568	0.2324227316
569	0.2323679674
570	0.2322562979
571	0.2321578666
572	0.2319352573
573	0.2317613086
574	0.2315350717
575	0.2314425843
576	0.2312289927
577	0.2310322064
578	0.230757303
579	0.2305005985
580	0.2304004553
581	0.2302355876
582	0.2300290681
583	0.2298611051
584	0.2296588594
585	0.229418231
586	0.2291113426
587	0.2289159696
588	0.2287328145
589	0.2285281796
590	0.2282000896
591	0.2280077022
592	0.2278616141
593	0.2276228415
594	0.227358961
595	0.227130304
596	0.2267494875
597	0.2265467324
598	0.2262407484
599	0.2258563288
600	0.2256718022
601	0.2255425926
602	0.2252982532
603	0.225018051
604	0.2249078488
605	0.224612397
606	0.2244726255
607	0.2242485448
608	0.2240381452
609	0.2238578837
610	0.2236439711
611	0.2233738952
612	0.2232264317
613	0.2229718852
614	0.2228028319
615	0.222553523
616	0.2222976411
617	0.2219945396
618	0.2216316241
619	0.2214508177
620	0.2213016395
621	0.2210670982
622	0.2207790887
623	0.2206120624
624	0.2204594123
625	0.220298525
626	0.2200835916
627	0.219939572
628	0.2198078405
629	0.2196138052
630	0.2194716522
631	0.2193162038
632	0.2191829459
633	0.2191379499
634	0.218915274
635	0.2187688801
636	0.2185577769
637	0.2184217426
638	0.2182409098
639	0.218034927
640	0.2178295034
641	0.2176404341
642	0.2174243025
643	0.2173539581
644	0.2172618096
645	0.2171386441
646	0.2169454589
647	0.2167859867
648	0.2165885027
649	0.2163285662
650	0.2160909746
651	0.2159126681
652	0.2157106394
653	0.21556705
654	0.2154406553
655	0.2151631195
656	0.2148652411
657	0.2147073995
658	0.2145681886
659	0.214352058
660	0.2141181701
661	0.2139257399
662	0.2137046079
663	0.2135693857
664	0.2133239832
665	0.2130221739
666	0.212909911
667	0.2127348753
668	0.212599161
669	0.2123631793
670	0.2121234339
671	0.2119723615
672	0.211835617
