iter	Passed	Remaining
0	31	31069
1	39	19580
2	43	14410
3	54	13474
4	57	11441
5	76	12688
6	84	11956
7	88	10912
8	93	10249
9	98	9755
10	103	9315
11	107	8860
12	110	8367
13	116	8227
14	120	7929
15	127	7858
16	131	7624
17	134	7349
18	137	7112
19	144	7074
20	147	6866
21	150	6698
22	153	6502
23	158	6426
24	161	6287
25	163	6142
26	167	6020
27	169	5888
28	174	5836
29	178	5757
30	179	5619
31	182	5526
32	189	5558
33	192	5482
34	196	5411
35	199	5342
36	206	5376
37	210	5316
38	212	5241
39	215	5180
40	221	5171
41	223	5094
42	226	5036
43	228	4967
44	230	4900
45	236	4911
46	240	4883
47	243	4830
48	248	4818
49	251	4785
50	254	4733
51	257	4690
52	260	4649
53	268	4697
54	271	4665
55	274	4620
56	277	4595
57	280	4555
58	285	4548
59	287	4507
60	291	4480
61	295	4469
62	299	4447
63	302	4425
64	305	4392
65	308	4360
66	313	4365
67	316	4337
68	319	4316
69	322	4290
70	327	4283
71	329	4249
72	331	4215
73	335	4195
74	337	4167
75	341	4148
76	343	4118
77	345	4089
78	348	4066
79	351	4042
80	354	4019
81	365	4094
82	370	4096
83	375	4096
84	379	4083
85	382	4060
86	384	4037
87	387	4020
88	390	3992
89	393	3975
90	395	3952
91	398	3930
92	401	3910
93	405	3904
94	408	3892
95	410	3868
96	413	3846
97	415	3825
98	418	3811
99	422	3801
100	424	3779
101	427	3760
102	429	3743
103	432	3727
104	436	3718
105	439	3706
106	441	3688
107	444	3669
108	446	3649
109	450	3648
110	453	3634
111	455	3614
112	458	3598
113	460	3579
114	464	3575
115	467	3560
116	470	3547
117	473	3537
118	475	3520
119	478	3508
120	482	3508
121	485	3493
122	487	3476
123	490	3463
124	493	3451
125	499	3462
126	502	3456
127	506	3448
128	511	3451
129	514	3446
130	518	3441
131	520	3425
132	524	3421
133	527	3412
134	531	3402
135	533	3388
136	535	3374
137	538	3365
138	542	3360
139	545	3349
140	547	3337
141	552	3340
142	570	3421
143	575	3420
144	578	3412
145	585	3427
146	588	3417
147	594	3420
148	596	3408
149	601	3407
150	603	3395
151	608	3392
152	620	3435
153	625	3434
154	629	3429
155	635	3435
156	638	3428
157	642	3424
158	658	3483
159	673	3537
160	683	3559
161	692	3584
162	695	3570
163	699	3565
164	703	3560
165	706	3549
166	709	3536
167	720	3568
168	728	3580
169	737	3598
170	740	3591
171	744	3583
172	748	3580
173	751	3569
174	755	3559
175	764	3578
176	767	3568
177	769	3554
178	775	3555
179	783	3571
180	792	3587
181	797	3584
182	804	3589
183	808	3586
184	811	3573
185	813	3559
186	825	3586
187	828	3580
188	831	3567
189	839	3580
190	843	3572
191	846	3563
192	851	3559
193	857	3561
194	860	3551
195	870	3571
196	874	3565
197	884	3582
198	887	3572
199	890	3563
200	896	3561
201	900	3557
202	904	3550
203	907	3540
204	915	3548
205	922	3554
206	927	3551
207	931	3546
208	933	3534
209	947	3563
210	950	3552
211	953	3544
212	963	3558
213	968	3557
214	976	3564
215	980	3560
216	985	3554
217	992	3561
218	997	3555
219	1006	3569
220	1010	3560
221	1015	3557
222	1021	3560
223	1025	3552
224	1028	3541
225	1037	3551
226	1045	3559
227	1047	3547
228	1057	3559
229	1065	3566
230	1069	3561
231	1074	3555
232	1081	3561
233	1085	3552
234	1089	3547
235	1096	3549
236	1101	3545
237	1108	3547
238	1113	3544
239	1116	3536
240	1122	3534
241	1128	3535
242	1132	3528
243	1137	3524
244	1143	3523
245	1163	3567
246	1167	3560
247	1180	3580
248	1190	3591
249	1196	3590
250	1201	3586
251	1205	3578
252	1208	3569
253	1213	3563
254	1320	3858
255	1355	3939
256	1362	3940
257	1367	3933
258	1370	3922
259	1375	3913
260	1381	3912
261	1387	3907
262	1392	3901
263	1483	4136
264	1501	4163
265	1516	4184
266	1523	4182
267	1599	4370
268	1604	4359
269	1607	4346
270	1610	4333
271	1613	4319
272	1617	4307
273	1620	4294
274	1625	4286
275	1629	4275
276	1659	4330
277	1663	4319
278	1669	4315
279	1672	4301
280	1675	4286
281	1677	4270
282	1682	4262
283	1685	4248
284	1687	4233
285	1690	4220
286	1693	4206
287	1696	4194
288	1699	4181
289	1702	4167
290	1705	4155
291	1709	4145
292	1715	4140
293	1718	4127
294	1721	4114
295	1724	4100
296	1727	4089
297	1730	4076
298	1733	4063
299	1736	4052
300	1740	4041
301	1744	4030
302	1746	4017
303	1749	4005
304	1752	3993
305	1754	3980
306	1757	3967
307	1760	3954
308	1762	3942
309	1766	3931
310	1768	3917
311	1770	3904
312	1773	3892
313	1775	3879
314	1778	3868
315	1782	3857
316	1784	3844
317	1788	3836
318	1791	3825
319	1797	3819
320	1800	3807
321	1803	3797
322	1806	3786
323	1809	3776
324	1812	3763
325	1815	3753
326	1820	3746
327	1826	3742
328	1831	3734
329	1838	3733
330	1842	3724
331	1845	3714
332	1850	3706
333	1853	3696
334	1856	3685
335	1859	3675
336	1863	3665
337	1868	3660
338	1871	3648
339	1874	3637
340	1876	3626
341	1880	3617
342	1883	3607
343	1886	3598
344	1890	3588
345	1893	3578
346	1898	3572
347	1900	3561
348	1903	3551
349	1907	3543
350	1912	3536
351	1917	3529
352	1921	3521
353	1923	3510
354	1929	3505
355	1932	3495
356	1936	3487
357	1938	3477
358	1941	3467
359	1944	3457
360	1946	3446
361	1949	3436
362	1952	3426
363	1955	3417
364	1960	3410
365	1963	3401
366	1966	3391
367	1968	3381
368	1971	3370
369	1975	3363
370	1978	3355
371	1981	3344
372	1983	3334
373	1986	3325
374	1990	3317
375	1994	3309
376	1996	3299
377	1999	3290
378	2002	3280
379	2006	3273
380	2009	3265
381	2011	3254
382	2014	3245
383	2016	3235
384	2021	3228
385	2023	3219
386	2026	3209
387	2028	3199
388	2030	3189
389	2032	3179
390	2036	3171
391	2038	3162
392	2041	3152
393	2043	3143
394	2045	3133
395	2048	3124
396	2053	3119
397	2056	3110
398	2058	3100
399	2061	3091
400	2063	3082
401	2066	3074
402	2069	3065
403	2072	3057
404	2074	3048
